t_s,hip_deg,knee_deg,ankle_deg
2.36704,-28.0147,63.4334,-0.299571
2.37094,-28.0663,62.5323,-0.251713
2.37485,-28.0527,61.5084,-0.212268
2.37875,-27.9853,60.3755,-0.183414
2.38266,-27.8703,59.1394,-0.162551
2.38657,-27.7271,57.8064,-0.183534
2.39047,-27.5838,56.4157,-0.239949
2.39438,-27.457,54.9927,-0.326842
2.39828,-27.3697,53.5625,-0.422239
2.40219,-27.3475,52.1408,-0.459331
2.4061,-27.4056,50.7519,-0.535398
2.41,-27.5549,49.4152,-0.711578
2.41391,-27.7884,48.1451,-0.654209
2.41781,-28.0739,46.9544,-0.262006
2.42172,-28.3819,45.8644,0.510144
2.42563,-28.6807,44.8853,1.39502
2.42953,-28.9069,43.9855,2.20573
2.43344,-29.0125,43.0856,2.66392
2.43734,-29.0254,42.1183,2.61859
2.44125,-29.0315,41.1334,2.50113
2.44516,-29.1089,40.2097,2.63214
2.44906,-29.2375,39.3502,2.75464
2.45297,-29.3307,38.4814,2.69262
2.45687,-29.324,37.5203,2.60338
2.46078,-29.1462,36.4051,2.54989
2.46469,-28.7937,35.1467,2.49918
2.46859,-28.3509,33.8377,2.38851
2.4725,-27.9095,32.5578,2.22283
